,larva(0),larva(1),larva(2),larva(3),larva(4),larva(7),larva(9)
mom_x(485),718,284,687,910,90,445,915
mom_x(486),717,285,687,910,90,445,915
mom_x(487),717,285,687,911,90,445,915
mom_x(488),718,285,687,910,90,445,915
mom_x(489),718,285,687,909,90,445,915
mom_x(490),718,286,686,908,90,444,915
mom_x(491),718,286,686,908,89,445,915
mom_x(492),719,287,686,907,89,445,915
mom_x(493),719,288,686,907,89,445,915
mom_x(494),720,288,686,907,89,445,915
mom_x(495),721,288,686,907,89,445,915
mom_x(496),721,289,686,907,89,445,915
mom_x(497),721,290,686,906,89,445,915
mom_x(498),721,290,686,906,89,445,915
mom_x(499),722,290,686,905,89,445,915
mom_x(500),722,291,686,905,88,445,915
mom_x(501),723,291,687,905,88,446,915
mom_x(502),723,291,686,905,88,445,915
mom_x(503),723,292,686,905,88,445,915
mom_x(504),723,292,686,905,88,445,915
mom_x(505),723,293,686,906,88,445,915
mom_x(506),724,293,686,906,87,445,915
mom_x(507),725,293,686,906,88,445,915
mom_x(508),725,294,686,906,88,445,915
mom_x(509),725,294,686,906,88,445,915
mom_x(510),725,295,686,906,88,445,914
mom_x(511),726,296,686,906,87,444,914
mom_x(512),726,296,686,906,87,444,914
mom_x(513),726,296,686,906,87,444,914
mom_x(514),726,296,686,906,87,444,914
mom_x(515),727,297,686,907,87,445,914
mom_x(516),727,297,685,908,87,445,914
mom_x(517),727,298,685,908,87,445,914
mom_x(518),727,298,685,908,87,445,914
mom_x(519),728,299,685,908,86,445,914
mom_x(520),728,300,685,908,87,446,914
mom_x(521),728,300,685,908,86,446,914
mom_x(522),729,300,685,908,87,446,914
mom_x(523),729,300,685,908,87,446,914
mom_x(524),729,300,685,908,87,446,914
mom_x(525),729,300,685,908,87,446,914
mom_x(526),730,301,685,908,87,446,914
mom_x(527),730,302,685,908,87,446,913
mom_x(528),730,302,684,908,87,446,913
mom_x(529),731,302,684,908,87,446,913
mom_x(530),731,302,684,909,87,446,913
mom_x(531),731,302,684,909,86,446,913
mom_x(532),731,302,684,909,86,445,913
mom_x(533),731,303,684,909,86,446,913
mom_x(534),731,303,683,909,86,446,913
mom_x(535),731,304,683,909,87,446,913
mom_x(536),731,304,683,909,87,446,913
mom_x(537),731,304,683,909,87,446,913
mom_x(538),731,304,683,910,87,446,913
mom_x(539),731,305,683,910,87,446,913
mom_x(540),731,305,683,910,87,446,913
mom_x(541),731,305,683,910,87,446,913
mom_x(542),731,305,683,910,87,446,913
mom_x(543),731,305,682,910,87,446,913
mom_x(544),731,305,682,910,86,446,913
mom_x(545),731,304,682,910,86,445,913
mom_x(546),732,305,682,911,86,445,912
mom_x(547),732,304,682,911,86,445,913
mom_x(548),732,304,682,911,86,446,912
mom_x(549),732,304,682,911,86,446,912
mom_x(550),732,304,682,911,86,446,912
mom_x(551),732,304,682,911,86,446,912
mom_x(552),732,304,683,912,86,446,912
mom_x(553),732,304,682,912,86,446,912
mom_x(554),733,304,682,912,86,447,912
mom_x(555),733,304,683,913,87,447,912
mom_x(556),733,304,682,913,86,447,911
mom_x(557),733,303,683,913,86,447,911
mom_x(558),733,304,684,913,86,447,911
mom_x(559),734,304,684,913,86,447,911
mom_x(560),734,305,684,913,86,447,912
mom_x(561),734,306,685,914,86,447,912
mom_x(562),734,307,684,914,86,447,911
mom_x(563),735,307,684,914,86,446,911
mom_x(564),735,307,684,915,86,446,911
mom_x(565),737,306,683,915,86,446,911
mom_x(566),737,306,682,915,86,446,911
mom_x(567),738,306,682,915,86,446,911
mom_x(568),740,306,682,915,87,446,911
mom_x(569),740,306,681,915,87,446,911
mom_x(570),740,307,681,916,87,446,910
mom_x(571),741,307,681,916,87,446,910
mom_x(572),741,307,680,916,87,447,910
mom_x(573),742,308,679,917,87,446,910
mom_x(574),742,308,680,917,87,446,910
mom_x(575),742,308,680,917,87,446,910
mom_x(576),742,308,680,917,86,446,910
mom_x(577),742,308,681,917,87,446,910
mom_x(578),742,308,681,918,87,446,910
mom_x(579),742,308,682,918,87,446,910
mom_x(580),744,308,682,918,87,446,909
mom_x(581),744,309,682,918,87,446,909
mom_x(582),744,309,682,919,87,446,909
mom_x(583),745,309,682,919,87,446,909
mom_x(584),745,309,682,919,87,446,909
mom_x(585),745,310,682,920,86,446,909
mom_x(586),746,309,682,920,87,446,909
mom_x(587),746,309,683,921,87,446,909
mom_x(588),747,309,683,921,87,446,909
mom_x(589),748,309,683,921,87,446,908
mom_x(590),748,310,683,921,87,446,908
mom_x(591),748,310,683,922,87,446,908
mom_x(592),748,310,684,922,87,446,908
mom_x(593),749,310,684,922,87,446,908
mom_x(594),749,310,684,922,87,446,908
mom_x(595),748,310,685,922,87,446,908
mom_x(596),749,311,685,922,87,446,908
mom_x(597),749,311,685,923,88,446,908
mom_x(598),749,311,685,924,88,446,908
mom_x(599),748,310,686,924,88,446,908
mom_x(600),748,311,686,925,88,446,907
mom_x(601),748,311,686,925,88,446,907
mom_x(602),748,311,687,926,88,446,907
mom_x(603),747,311,687,926,88,446,907
mom_x(604),747,311,687,926,88,446,907
mom_x(605),746,311,687,926,88,446,907
mom_x(606),745,311,688,927,88,445,906
mom_x(607),745,312,688,927,88,446,906
mom_x(608),745,312,689,928,88,446,906
mom_x(609),745,312,689,928,88,445,905
mom_x(610),745,311,689,929,88,445,905
mom_x(611),745,311,689,929,88,445,906
mom_x(612),744,311,689,929,88,445,905
mom_x(613),744,312,689,930,88,445,905
mom_x(614),744,312,690,930,88,445,905
mom_x(615),744,311,690,930,88,445,905
mom_x(616),744,312,690,931,88,445,905
mom_x(617),743,312,690,932,87,445,904
mom_x(618),743,312,691,932,88,445,904
mom_x(619),744,312,691,932,88,445,904
mom_x(620),743,312,692,934,88,445,904
mom_x(621),743,312,692,934,88,445,904
mom_x(622),743,312,692,934,88,445,904
mom_x(623),744,312,692,935,88,445,904
mom_x(624),743,312,692,935,88,445,904
mom_x(625),743,312,692,935,88,445,903
mom_x(626),744,313,692,935,88,445,903
mom_x(627),744,313,692,936,88,445,903
mom_x(628),744,313,692,936,88,445,902
mom_x(629),746,313,692,936,88,445,902
mom_x(630),747,313,692,936,88,445,902
mom_x(631),748,313,692,937,89,445,902
mom_x(632),748,313,693,937,89,445,902
mom_x(633),747,313,693,938,89,445,902
mom_x(634),747,313,693,938,89,445,901
mom_x(635),748,313,694,938,89,445,901
mom_x(636),748,313,694,938,90,445,900
mom_x(637),748,313,694,939,89,445,900
mom_x(638),748,313,694,939,89,445,900
mom_x(639),748,314,694,939,89,444,900
mom_x(640),748,314,695,939,89,444,900
mom_x(641),748,314,695,939,89,444,900
mom_x(642),748,314,696,939,89,444,899
mom_x(643),748,314,696,940,89,444,899
mom_x(644),748,314,696,940,89,444,898
mom_x(645),748,314,695,940,90,444,898
mom_x(646),748,314,696,941,90,444,898
mom_x(647),748,314,696,941,90,444,898
mom_x(648),747,314,696,942,90,444,897
mom_x(649),747,314,697,942,90,444,897
mom_x(650),747,314,697,942,90,444,897
mom_x(651),747,314,698,942,90,445,897
mom_x(652),747,315,698,942,90,445,897
mom_x(653),748,315,698,943,90,445,897
mom_x(654),748,315,699,943,90,445,896
mom_x(655),748,315,699,943,90,444,895
mom_x(656),748,315,699,945,91,444,896
mom_x(657),747,315,700,945,90,444,895
mom_x(658),747,315,700,946,90,444,895
