,larva(1),larva(4),larva(6)
mom_x(779),1179,1531,1122
mom_x(780),1180,1531,1121
mom_x(781),1180,1532,1122
mom_x(782),1180,1532,1123
mom_x(783),1180,1533,1124
mom_x(784),1180,1533,1124
mom_x(785),1180,1534,1125
mom_x(786),1180,1534,1125
mom_x(787),1180,1534,1125
mom_x(788),1180,1534,1125
mom_x(789),1181,1535,1126
mom_x(790),1181,1535,1127
mom_x(791),1181,1536,1128
mom_x(792),1182,1536,1128
mom_x(793),1182,1537,1128
mom_x(794),1182,1537,1129
mom_x(795),1182,1537,1129
mom_x(796),1182,1537,1130
mom_x(797),1182,1537,1132
mom_x(798),1183,1538,1132
mom_x(799),1183,1539,1132
mom_x(800),1183,1539,1131
mom_x(801),1184,1540,1133
mom_x(802),1184,1540,1134
mom_x(803),1184,1540,1135
mom_x(804),1184,1540,1135
mom_x(805),1185,1540,1134
mom_x(806),1185,1541,1134
mom_x(807),1185,1542,1133
mom_x(808),1185,1542,1134
mom_x(809),1185,1542,1134
mom_x(810),1185,1543,1133
mom_x(811),1186,1543,1135
mom_x(812),1186,1543,1135
mom_x(813),1186,1543,1136
mom_x(814),1186,1544,1137
mom_x(815),1186,1544,1137
mom_x(816),1186,1545,1138
mom_x(817),1186,1545,1138
mom_x(818),1186,1546,1138
mom_x(819),1186,1546,1139
mom_x(820),1187,1546,1139
mom_x(821),1188,1546,1140
mom_x(822),1188,1546,1140
mom_x(823),1188,1546,1140
mom_x(824),1188,1547,1140
mom_x(825),1189,1547,1141
mom_x(826),1188,1547,1141
mom_x(827),1188,1548,1142
mom_x(828),1188,1548,1142
mom_x(829),1189,1549,1143
mom_x(830),1190,1549,1143
mom_x(831),1190,1549,1143
mom_x(832),1190,1549,1143
mom_x(833),1190,1550,1143
mom_x(834),1190,1550,1144
mom_x(835),1190,1551,1144
mom_x(836),1190,1551,1144
mom_x(837),1190,1552,1144
mom_x(838),1191,1553,1144
mom_x(839),1191,1552,1144
mom_x(840),1191,1552,1144
mom_x(841),1191,1553,1144
mom_x(842),1191,1553,1144
mom_x(843),1191,1554,1143
mom_x(844),1191,1555,1143
mom_x(845),1191,1555,1142
mom_x(846),1191,1555,1141
mom_x(847),1191,1556,1141
mom_x(848),1191,1557,1141
mom_x(849),1190,1557,1142
mom_x(850),1190,1558,1142
mom_x(851),1191,1558,1143
mom_x(852),1191,1558,1143
mom_x(853),1192,1558,1143
mom_x(854),1193,1559,1143
mom_x(855),1192,1560,1143
mom_x(856),1192,1560,1143
mom_x(857),1192,1560,1144
mom_x(858),1192,1561,1145
mom_x(859),1192,1562,1145
mom_x(860),1192,1562,1145
mom_x(861),1191,1562,1146
mom_x(862),1192,1562,1146
mom_x(863),1192,1563,1147
mom_x(864),1193,1563,1147
mom_x(865),1193,1565,1147
mom_x(866),1193,1565,1149
mom_x(867),1193,1566,1149
mom_x(868),1193,1566,1149
mom_x(869),1193,1567,1150
mom_x(870),1193,1567,1150
mom_x(871),1193,1567,1150
mom_x(872),1193,1567,1151
mom_x(873),1194,1568,1152
mom_x(874),1194,1568,1152
mom_x(875),1194,1569,1152
mom_x(876),1194,1570,1153
mom_x(877),1194,1570,1153
mom_x(878),1194,1571,1154
mom_x(879),1194,1571,1155
mom_x(880),1194,1571,1156
mom_x(881),1194,1571,1156
mom_x(882),1194,1572,1156
mom_x(883),1194,1573,1156
mom_x(884),1194,1574,1156
mom_x(885),1194,1574,1157
mom_x(886),1194,1575,1157
mom_x(887),1194,1576,1158
mom_x(888),1194,1576,1159
mom_x(889),1194,1577,1159
mom_x(890),1194,1577,1159
mom_x(891),1195,1577,1159
mom_x(892),1195,1578,1160
mom_x(893),1195,1578,1162
mom_x(894),1195,1579,1163
mom_x(895),1195,1580,1163
mom_x(896),1195,1580,1163
mom_x(897),1195,1581,1163
mom_x(898),1196,1581,1164
mom_x(899),1195,1581,1165
mom_x(900),1196,1581,1166
mom_x(901),1196,1582,1166
mom_x(902),1196,1582,1166
mom_x(903),1196,1584,1166
mom_x(904),1197,1585,1167
mom_x(905),1197,1585,1169
mom_x(906),1197,1585,1170
mom_x(907),1197,1586,1169
mom_x(908),1196,1586,1170
mom_x(909),1197,1586,1170
mom_x(910),1197,1587,1170
mom_x(911),1197,1588,1171
